iter	Logloss
0	0.6918333435
1	0.6906832886
2	0.6891529846
3	0.6878523254
4	0.6866333771
5	0.6853752136
6	0.6845259094
7	0.6833205414
8	0.6820472717
9	0.6808959961
10	0.6797883606
11	0.6790376282
12	0.6780392456
13	0.6769199371
14	0.6760933685
15	0.6749919128
16	0.6740583801
17	0.6732957458
18	0.6723655701
19	0.6712338257
20	0.6700384521
21	0.6690568542
22	0.6681112671
23	0.6669806671
24	0.6659823608
25	0.6652805328
